x,psi_1,psi_2,psi_3,psi_4,psi_5,psi_6,psi_7,psi_8,psi_9,psi_10,rho_1,rho_2,rho_3,rho_4,rho_5,rho_6,rho_7,rho_8,rho_9,rho_10
0.094,0.4115872942696207,0.7875410493924738,1.095312731832515,1.3082567321475114,1.407937232524479,1.3857243042416014,1.2435410514873522,0.9936971168905783,0.6578229631696083,0.26499719642243114,0.16940410080418736,0.6202209044781989,1.1997099805144071,1.7115356772092853,1.9822872507286888,1.9202318473658704,1.5463943467342693,0.9874339601166475,0.43273105087324387,0.07022351411174856
0.09425,0.41264980712916144,0.7893851972185932,1.0974175158704467,1.3099375874528645,1.4084490153887488,1.3843779909789444,1.239819503229363,0.9873550043204635,0.6489573999579856,0.25407866728659584,0.17027986332373413,0.6231289895878374,1.204325204139262,1.7159364830218309,1.983728628949536,1.9165024219068982,1.5371524005879047,0.9748699045566626,0.4211457069602289,0.06455596917013266
0.0945,0.4137120654455682,0.7912273973152091,1.099516207430528,1.311605514203073,1.4089390782268671,1.3830009354311743,1.236060480698686,0.9809739126654009,0.6400594118077679,0.24314446538174492,0.1711576730952381,0.6260407942621997,1.208935890402412,1.7203090248879074,1.985109326154774,1.912691587403503,1.5278455119450665,0.9623098173300656,0.4096760506437059,0.05911923104577455
0.09475,0.41477406856358673,0.7930676451368756,1.1016087948615583,1.3132604959363725,1.409407413481459,1.38159316817797,1.2322640975139847,0.9745540938399624,0.6311294433039454,0.23219526518095654,0.17203752795279095,0.6289562897629492,1.2135419369163347,1.7246531301870471,1.986429257176496,1.9087996823560407,1.5184748060219553,0.9497556818202302,0.398324374205148,0.05391464117245473
0.095,0.41583581582812007,0.7949059361429641,1.103695266546225,1.3149025163187618,1.4098540139302147,1.3801547204810118,1.228430468423171,0.9680958012876035,0.6221679406293962,0.22123174208247448,0.1729194257254382,0.6318754473153222,1.2181432413965425,1.7289686274214116,1.987688340595138,1.90482705246602,1.5090414157503715,0.9372094804706872,0.38709294634702385,0.04894348370484651
0.09525,0.4168973065842292,0.7967422657976745,1.1057756109011674,1.3165315591441626,1.4102788726860034,1.3786856242832877,1.2245597092999359,0.961599289970655,0.6131753515425924,0.21025457236804618,0.1738033642371848,0.6347982381084122,1.22273970166385,1.7332553462225597,1.9888864987445045,1.9007740506053987,1.4995464816407433,0.9246731944720679,0.3759840117393818,0.04420698520166997
0.0955,0.4179585401771334,0.7985766295700459,1.1078498163770423,1.3181476083345802,1.4106819831969775,1.377185912208383,1.220651937140247,0.9550648163602601,0.6041521253552284,0.1992644331612068,0.17468934130700045,0.6377246332954544,1.2273312156466463,1.737513117358174,1.9900236577165573,1.8966410367852358,1.4899911516442372,0.9121488034492573,0.36499979057123966,0.039706314323057046
0.09575,0.4190195159522103,0.800409022933968,1.1099178714585871,1.3197506479402612,1.4110633392466743,1.3756556175597576,1.2167072700588129,0.9484926384262481,0.5950987129097712,0.18826200238551072,0.17557735474882463,0.6406546039941093,1.2319176813831607,1.7417417727387392,1.9910997473659748,1.8924283781237181,1.4803765810139689,0.8996382851487854,0.35414247810686633,0.03544258154220204
0.096,0.4200802332549969,0.8022394413681924,1.1119797646646834,1.321340662139852,1.4114229349541114,1.3740947743200047,1.2127258272855133,0.9418830156269506,0.5860155665569337,0.17724795872271368,0.1764674023715726,0.6435881212867494,1.2364989970237248,1.7459411454241827,1.9921147013144778,1.8881364488135446,1.4707039321653326,0.8871436151265185,0.3434142442470439,0.03141683887136881
0.09625,0.4211406914311893,0.8040678803563434,1.1140354845484226,1.3229176352405543,1.4117607647738786,1.3725034171500972,1.2087077291617947,0.9352362088989582,0.5769031401330734,0.1662229815709108,0.17735948197914023,0.6465251562207429,1.2410750608330388,1.7501110696304603,1.9930684569549264,1.8837656300886936,1.4609743745354624,0.8746667664356957,0.33281723309540057,0.027630079602323356
0.0965,0.4222008898266437,0.8058943353869297,1.1160850196971674,1.32448155167828,1.4120768234962218,1.3708815813886175,1.2046530971370328,0.9285524806468194,0.5677618889375176,0.1551877510026245,0.17825359137040975,0.649465679808741,1.2456457711924267,1.7542513807361042,1.9939609554551798,1.8793163101905568,1.4511890844418456,0.8622097093153619,0.322353562529898,0.02408323806125258
