n,d,R_survie_empirique,R_survie_exponentielle
0,0.07559989210432758,0.7235,0.60072871789292
0,0.07559989210519023,0.72325,0.6007287178913477
0,0.07559989210520701,0.723,0.6007287178913171
0,0.07559989210609049,0.72275,0.6007287178897067
0,0.07559989210610728,0.7225,0.6007287178896761
0,0.07559989210702998,0.72225,0.6007287178879942
0,0.07559989210706355,0.722,0.600728717887933
0,0.07559989210801035,0.7215,0.6007287178862073
0,0.07559989210903335,0.72125,0.6007287178843426
0,0.07559989210905013,0.721,0.6007287178843119
0,0.0755998921101008,0.72075,0.6007287178823968
0,0.0755998921101176,0.7205,0.6007287178823661
0,0.07559989211121458,0.72025,0.6007287178803666
0,0.07559989211124817,0.72,0.6007287178803055
0,0.0755998921123767,0.7195,0.6007287178782483
0,0.07559989211358917,0.71925,0.6007287178760383
0,0.07559989211360595,0.719,0.6007287178760077
0,0.07559989211485414,0.71875,0.6007287178737325
0,0.07559989211487092,0.7185,0.600728717873702
0,0.07559989211617385,0.71825,0.6007287178713271
0,0.07559989211620742,0.718,0.6007287178712658
0,0.0755998921175506,0.7175,0.6007287178688174
0,0.07559989211898681,0.71725,0.6007287178661996
0,0.0755998921190036,0.717,0.600728717866169
0,0.07559989212048504,0.71675,0.6007287178634686
0,0.0755998921205018,0.7165,0.6007287178634381
0,0.07559989212204785,0.71625,0.60072871786062
0,0.07559989212208142,0.716,0.6007287178605588
0,0.07559989212367799,0.7155,0.6007287178576487
0,0.07559989212537833,0.71525,0.6007287178545493
0,0.07559989212539513,0.715,0.6007287178545186
0,0.07559989212715179,0.71475,0.6007287178513167
0,0.07559989212716858,0.7145,0.6007287178512861
0,0.07559989212900149,0.71425,0.600728717847945
0,0.07559989212903506,0.714,0.6007287178478838
0,0.07559989213093059,0.7135,0.6007287178444288
0,0.07559989213294248,0.71325,0.6007287178407615
0,0.07559989213295924,0.713,0.600728717840731
0,0.0755998921350406,0.71275,0.6007287178369372
0,0.07559989213505738,0.7125,0.6007287178369065
0,0.07559989213722859,0.71225,0.6007287178329489
0,0.07559989213726216,0.712,0.6007287178328876
0,0.07559989213951022,0.7115,0.60072871782879
0,0.07559989214188939,0.711,0.6007287178244533
0,0.07559989214437023,0.71075,0.6007287178199313
0,0.07559989214438702,0.7105,0.6007287178199007
0,0.07559989214697375,0.71025,0.6007287178151857
0,0.07559989214699055,0.71,0.600728717815155
0,0.07559989214965403,0.7095,0.6007287178103001
0,0.07559989215246601,0.709,0.6007287178051745
0,0.07559989215539774,0.70875,0.6007287177998306
0,0.07559989215541452,0.7085,0.6007287177998
0,0.07559989215847096,0.70825,0.6007287177942288
0,0.07559989215848774,0.708,0.6007287177941982
0,0.07559989216164052,0.7075,0.6007287177884514
0,0.07559989216496218,0.707,0.6007287177823967
0,0.0755998921684248,0.70675,0.600728717776085
0,0.07559989216844158,0.7065,0.6007287177760545
0,0.07559989217205099,0.70625,0.6007287177694753
0,0.07559989217206778,0.706,0.6007287177694448
0,0.07559989217579652,0.7055,0.6007287177626481
0,0.07559989217971805,0.705,0.6007287177555001
