time,E12,E13,E23
38.97,-1.5172646905235585,-0.10772604032540503,0.18677971423556566
38.980000000000004,-1.5175161182092523,-0.12372767059507897,0.2130533402970501
38.99,-1.5177754493422417,-0.13940183800351885,0.2402858395937036
39.0,-1.5180412307786004,-0.15473463077365107,0.2685633108942103
39.01,-1.5183119528851674,-0.16970650763313555,0.2979821598716356
39.02,-1.5185860449210606,-0.18429114192397555,0.32865066513400815
39.03,-1.51886187045243,-0.19845394054647156,0.36069083546950215
39.04,-1.5191377207227754,-0.21215013702844462,0.39424061837852203
39.050000000000004,-1.5194118098307687,-0.22532232202010505,0.4294565301333812
39.06,-1.5196822665472949,-0.2378972227986683,0.466516794149466
39.07,-1.5199471261437936,-0.24978147089254854,0.5056250858870361
39.08,-1.5202043222973622,-0.2608559919072759,0.5470149958854468
39.09,-1.520451678072227,-0.27096849893749897,0.5909553284161475
39.1,-1.5206868941352052,-0.2799233464348767,0.6377563422498922
39.11,-1.520907542884868,-0.2874676681717946,0.6877769873962251
39.12,-1.521111058816635,-0.2932722204761948,0.74143306830636
39.13,-1.5212947335199343,-0.2969045927383175,0.7992059694048737
39.14,-1.5214557223900296,-0.2977912875256069,0.8616509625128816
39.15,-1.5215910498962633,-0.295163400321477,0.9294028520349099
39.160000000000004,-1.5216976575885057,-0.2879779466816385,1.003174107845269
39.17,-1.5217724637221464,-0.27480291778152116,1.083735380803787
39.18,-1.5218125103187323,-0.2536486883619802,1.171857548395118
39.19,-1.5218151985310273,-0.22172220058248915,1.26817264301518
39.2,-1.521778722959855,-0.17507798383183582,1.372867199252518
39.21,-1.521702806494357,-0.10815859747264728,1.4850368314165139
39.22,-1.5215899287243504,-0.013310294778415388,1.6013835534836602
39.230000000000004,-1.5214472570552324,0.11932681054561772,1.713757093772425
39.24,-1.5212892887117704,0.3003279271024452,1.8051542698662182
39.25,-1.5211402745093672,0.5352209352808702,1.8454911862910377
39.26,-1.5210331011519633,0.8119728700491012,1.794095928349687
39.27,-1.5209992156701198,1.0888723730280319,1.621378247612765
39.28,-1.521050265064578,1.3067548363104367,1.3430953034167294
39.29,-1.5211680162498293,1.4291446407687218,1.0211406431165955
39.300000000000004,-1.5213160538592723,1.4623028056895622,0.718541493505143
39.31,-1.521459716102453,1.4352708127905185,0.46687085530788214
39.32,-1.5215761976344702,1.3758549535427647,0.270289135365638
39.33,-1.521654339024038,1.3024453931727291,0.12084428200854958
39.34,-1.5216908738655839,1.225270189498319,0.008192150956902844
39.35,-1.5216869973349305,1.1494519109639214,-0.07672431706097477
39.36,-1.5216461135005614,1.0773058099401434,-0.14091441656466897
39.37,-1.521572538933829,1.009697528127968,-0.1895604705934002
39.38,-1.5214708092269258,0.9467761403552661,-0.2264402915314056
39.39,-1.5213453282297624,0.8883551164073951,-0.25430860671901456
39.4,-1.521200210120492,0.8341063738533752,-0.27518836536151503
39.410000000000004,-1.5210392077600163,0.7836572591726991,-0.29058026456150515
39.42,-1.5208657140725452,0.7366374895261731,-0.3016102313785224
39.43,-1.5206827659360649,0.6927004160722183,-0.3091327631384312
39.44,-1.520493073559969,0.6515312247377965,-0.31380360830468484
39.45,-1.5202990500305262,0.6128486272120428,-0.3161312915869745
39.46,-1.5201028385950233,0.5764034550931554,-0.31651400589250656
39.47,-1.5199063429668955,0.5419759215180002,-0.31526631428177815
39.480000000000004,-1.5197112508765191,0.5093724555402991,-0.3126386904784763
39.49,-1.519519057622543,0.4784225539877484,-0.30883197472036367
39.5,-1.5193310862739093,0.4489758567325276,-0.3040081805446822
39.51,-1.51914850483103,0.4208995257211594,-0.29829865447836823
39.52,-1.518972342499018,0.3940759430794285,-0.2918102951279304
39.53,-1.5188035029162914,0.3684007138813496,-0.28463033477399907
39.54,-1.518642776766565,0.3437809449081761,-0.2768300455913884
39.550000000000004,-1.5184908505952934,0.320133767751452,-0.26846763346179137
39.56,-1.5183483184785538,0.29738507227964295,-0.2595905125761338
39.57,-1.518215688175554,0.27546842323374554,-0.2502371033703789
39.58,-1.518093389440174,0.25432413167261947,-0.2404382606652929
39.59,-1.517981778678727,0.23389846009015963,-0.23021841199336623
39.6,-1.517881146926374,0.21414293979328214,-0.21959646716345485
39.61,-1.5177917226305975,0.19501378641492445,-0.20858654502199922
39.62,-1.5177136772760063,0.17647139759373492,-0.1971985532846621
39.63,-1.5176471281774981,0.15847992272106387,-0.18543864847355584
39.64,-1.5175921426132328,0.14100689400470356,-0.1733095972857734
39.65,-1.5175487408809114,0.12402291150451933,-0.1608110554670289
39.660000000000004,-1.517516898261032,0.1075013756217375,-0.14793977668568906
39.67,-1.5174965482711684,0.09141826110943141,-0.13468976106403724
39.68,-1.5174875835487391,0.07575192927268726,-0.12105235011884533
39.69,-1.5174898578832063,0.06048297424324278,-0.10701627358471305
39.7,-1.5175031891189006,0.04559410103481826,-0.0925676514991792
39.71,-1.5175273583571438,0.03107003472881331,-0.07768995305552276
39.72,-1.5175621119949905,0.01689745871340609,-0.06236391360967189
39.730000000000004,-1.5176071637886204,0.0030649825943738773,-0.04656740909091778
39.74,-1.5176621929631526,-0.010436858737129462,-0.030275285040941513
39.75,-1.517726843681343,-0.023615573952576935,-0.013459138355407463
39.76,-1.5178007300546332,-0.036476649588141175,0.003912951784134866
39.77,-1.517883433867771,-0.04902344400028283,0.021876752389415888
39.78,-1.517974501691156,-0.061257036230320694,0.040472270852326186
39.79,-1.51807344765469,-0.07317602291621328,0.059744223054266576
39.800000000000004,-1.5181797508194559,-0.08477625209118045,0.07974258998953404
39.81,-1.5182928548767127,-0.09605048184797624,0.10052327598975591
39.82,-1.5184121675368725,-0.10698794672214984,0.12214888768531879
39.83,-1.518537057663901,-0.11757380977181006,0.14468965716287624
39.84,-1.5186668543840396,-0.127788472108843,0.1682245363402512
39.85,-1.518800843446139,-0.137606701896941,0.1928424988679654
39.86,-1.5189382664512532,-0.1469965337519341,0.21864409112379923
39.87,-1.5190783162339834,-0.15591787198894155,0.24574328785161725
39.88,-1.5192201337769937,-0.164320709845925,0.2742697172695729
39.89,-1.5193628038346385,-0.17214284513096217,0.30437133862193133
39.9,-1.519505350702273,-0.17930692981533097,0.3362176729873114
39.910000000000004,-1.519646732525987,-0.18571662970987005,0.37000371181331054
39.92,-1.519785835301144,-0.19125158351633242,0.4059546525922861
39.93,-1.5199214669985126,-0.19576072503737968,0.44433163794059555
39.94,-1.52005234968765,-0.19905334944033046,0.4854386975847432
39.95,-1.5201771130521933,-0.20088703653272827,0.5296310970099514
39.96,-1.520294287679928,-0.20095114548316778,0.5773252596619105
39.97,-1.5204022971879734,-0.19884400055746232,0.6290102923073619
39.980000000000004,-1.5204994582450795,-0.19404099608255443,0.6852607844471157
39.99,-1.5205839766862992,-0.18584951148542855,0.7467497385201958
40.0,-1.5206539648532635,-0.17334455718510972,0.8142586843539397
40.01,-1.5207074634415902,-0.15527626195119137,0.888678186080726
40.02,-1.5207425048598968,-0.12993667829784572,0.9709837662286458
40.03,-1.5207572201425785,-0.0949698527932028,1.0621550107666946
40.04,-1.520750050566459,-0.04710986281297458,1.1629695720170476
40.050000000000004,-1.5207201072790388,0.018149273269312927,1.2735306614894544
40.06,-1.5206678071911313,0.1068679656795326,1.3922493997855363
40.07,-1.5205959072614768,0.22662525246633874,1.5137983135594033
40.08,-1.5205110231183276,0.385163836647609,1.6254785480269742
40.09,-1.5204252941916678,0.5856684982523713,1.7024963447223413
40.1,-1.520356631068971,0.8168094944281099,1.7072041510111977
40.11,-1.5203243864738116,1.0430979761054253,1.60432336787959
40.12,-1.5203393787257031,1.2147880386486904,1.393532687329412
40.13,-1.5203959861008505,1.3016341326907817,1.121716538919348
40.14,-1.5204759819432967,1.3107687899226614,0.8485926863045544
40.15,-1.5205595062292083,1.2692661495153534,0.6107115600106079
40.160000000000004,-1.520632118043356,1.2023911667015965,0.41827948579623947
40.17,-1.5206858387075277,1.1263314849077302,0.26760903256318125
40.18,-1.5207174510977897,1.0496698982225845,0.15087553067884363
40.19,-1.5207266259635381,0.976389492416957,0.06042433501034211
40.2,-1.5207145873567987,0.9080465338309334,-0.009983853789550523
40.21,-1.5206833027113071,0.8450103070107291,-0.06510816425584845
40.22,-1.5206350265722486,0.7871076587797825,-0.1084937734697693
40.230000000000004,-1.5205720554562006,0.7339434028037222,-0.14276892453820245
40.24,-1.5204966031776306,0.6850545908745116,-0.16989013943933468
40.25,-1.5204107417689985,0.6399817667302738,-0.19132609459488178
40.26,-1.5203163774729447,0.598299321449547,-0.20819053578330088
40.27,-1.520215249988054,0.5596260176494794,-0.22133718916163575
40.28,-1.5201089337478695,0.5236261919152144,-0.23142748789296713
40.29,-1.5199988531981872,0.49000684340104295,-0.23897915242459108
40.300000000000004,-1.5198862909696627,0.45851317618325205,-0.24440132105954437
40.31,-1.5197724032581323,0.4289238204324911,-0.24802019910363438
40.32,-1.519658230389958,0.40104629224476857,-0.2500979761759546
40.33,-1.5195447069375385,0.3747129151039604,-0.2508469217403297
40.34,-1.5194326736430304,0.3497772618146743,-0.25043999364013586
40.35,-1.5193228854843825,0.3261111022769183,-0.24901889921200648
40.36,-1.5192160184353394,0.3036018087188303,-0.24670027688478607
40.37,-1.5191126787713256,0.2821501591791067,-0.24358047750848522
40.38,-1.5190134079497903,0.26166848351639393,-0.2397392919109531
40.39,-1.518918687748773,0.24207909843877803,-0.2352428783832274
40.4,-1.518828946167676,0.2233129853448502,-0.23014607712854868
40.410000000000004,-1.518744561073253,0.2053086725698015,-0.22449425058442224
40.42,-1.5186658644911684,0.18801128844008902,-0.21832475411572302
40.43,-1.5185931450635837,0.171371758298312,-0.21166811576694156
40.44,-1.518526651471705,0.1553461219803178,-0.2045489852935904
40.45,-1.5184665956999843,0.13989495323753368,-0.19698689833881244
40.46,-1.518413154200951,0.12498286612977258,-0.18899689105033576
40.47,-1.518366470868957,0.1105780946535028,-0.18058999272150117
40.480000000000004,-1.5183266575267265,0.09665213624454003,-0.17177361736295216
40.49,-1.5182937971461563,0.08317944930013918,-0.1625518710189171
40.5,-1.5182679440534181,0.07013719918998837,-0.1529257870485879
40.51,-1.5182491253828334,0.057505046207402266,-0.1428934994169836
40.52,-1.5182373425242146,0.04526497131560206,-0.1324503611968575
40.53,-1.5182325708001128,0.033401136739382636,-0.12158901338614109
40.54,-1.518234761138983,0.02189977810754934,-0.11029940811298977
40.550000000000004,-1.5182438411445922,0.010749127119596996,-0.09856878809346678
40.56,-1.5182597137824607,-6.0635711911893875e-05,-0.08638162292313789
